title,author,abstract,url,venue,year
Essentials of online payment security and fraud prevention,,… payments and fraud. This book provides the basic concepts around payment flow and management as well as the ways fraud … on the most commonly used fraud-prevention techniques. …,https://books.google.com/books?hl=en&lr=&id=apt2DwAAQBAJ&oi=fnd&pg=PP7&dq=online+payment+fraud&ots=GzYJsMCLH2&sig=VRvc2gBIFFBudWNPcOSX26dZhO0,,
LAW: learning automatic windows for online payment fraud detection,"[{'name': 'C Wang', 'link': 'https://scholar.google.com/citations?user=qibNewgAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=qibNewgAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'qibNewgAAAAJ'}, {'name': 'H Zhu', 'link': 'https://scholar.google.com/citations?user=s8H_WZMAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=s8H_WZMAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 's8H_WZMAAAAJ'}]","… In this paper, we propose an online payment fraud detection method based on the devised … on fraud detection, especially on online payment fraud. Traditional rule-based fraud detection …",https://ieeexplore.ieee.org/abstract/document/9258411/,,
Online payment fraud: from anomaly detection to risk management,"[{'name': 'P Vanini', 'link': 'https://scholar.google.com/citations?user=m7icMzUAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=m7icMzUAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'm7icMzUAAAAJ'}]","… that fraud in online payments can only be detected based on individual data, as such fraud … of the fraudster and the account holder during payments. As fraudsters learn how best to …",https://link.springer.com/article/10.1186/s40854-023-00470-w,,
Fraud in electronic payment transactions: Threats and countermeasures,,… frauds has been major and growing cost. This paper provides an overview on epayment frauds. It … the statistics of actual payment frauds and online revenue loss due to frauds. It further …,https://www.researchgate.net/profile/Mohamed-Mourad-Lafifi/post/Is-it-possible-to-help-me-with-similar-sources-or-research-for-the-purpose-of-completing-my-research-projects-on-the-development-of-electronic-paymen/attachment/5cb7642b3843b01b9b9abf38/AS%3A748730219257856%401555522603426/download/FRAUD+IN+ELECTRONIC+PAYMENT+TRANSACTIONS+_+THREATS+AND+COUNTERMEASURES.pdf,,
Fraud risk in electronic payment transactions,"[{'name': 'L Kovacs', 'link': 'https://scholar.google.com/citations?user=sYZsfzgAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=sYZsfzgAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'sYZsfzgAAAAJ'}]","… Supporting these models, the third-party service providers (TPPs) find their business case through their online (and real-time) payment services, like payment account information and …",https://www.emerald.com/insight/content/doi/10.1108/JMLC-09-2015-0039/full/html,,
An intelligent payment card fraud detection system,"[{'name': 'M Seera', 'link': 'https://scholar.google.com/citations?user=jGDMkD0AAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=jGDMkD0AAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'jGDMkD0AAAAJ'}, {'name': 'CP Lim', 'link': 'https://scholar.google.com/citations?user=an_4IJkAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=an_4IJkAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'an_4IJkAAAAJ'}, {'name': 'L Dhamotharan', 'link': 'https://scholar.google.com/citations?user=fxUweGoAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=fxUweGoAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'fxUweGoAAAAJ'}]","… Owing to the increase in the usage of payment cards, especially in online purchases, fraud cases are on the rise. The rise creates financial risk and uncertainty, as in the commercial …",https://link.springer.com/article/10.1007/s10479-021-04149-2,,
Online Payment Fraud Detection Model Using Machine Learning Techniques,"[{'name': 'AA Almazroi', 'link': 'https://scholar.google.com/citations?user=5arrffUAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=5arrffUAAAAJ&engine=google_scholar_author&hl=en', 'author_id': '5arrffUAAAAJ'}, {'name': 'N Ayub', 'link': 'https://scholar.google.com/citations?user=xCriUtMAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=xCriUtMAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'xCriUtMAAAAJ'}]","… and the widespread adoption of online payment methods, fraudulent activities have seen a … in financial losses attributed to credit and debit card fraud between 2020 and 2022 [1]…",https://ieeexplore.ieee.org/abstract/document/10341223/,,
Representing fine-grained co-occurrences for behavior-based fraud detection in online payment services,"[{'name': 'C Wang', 'link': 'https://scholar.google.com/citations?user=qibNewgAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=qibNewgAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'qibNewgAAAAJ'}, {'name': 'H Zhu', 'link': 'https://scholar.google.com/citations?user=s8H_WZMAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=s8H_WZMAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 's8H_WZMAAAAJ'}]","… There is an urgent need for realizing effective and comprehensive online payment fraud … the fraud detection issue in a typical pattern of online payment services, ie, online Business-…",https://ieeexplore.ieee.org/abstract/document/9085905/,,
Online credit payment fraud detection via structure-aware hierarchical recurrent neural network.,"[{'name': 'X Ao', 'link': 'https://scholar.google.com/citations?user=W8wrWfMAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=W8wrWfMAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'W8wrWfMAAAAJ'}]","… In this paper, the online credit payment fraud detection task is phrased as a binary sequence classification problem. That is, given the user’s multi-scale behavior sequence X = [X1; X2; ..…",https://www.ijcai.org/proceedings/2021/0505.pdf,,
Payment card fraud: Challenges and solutions,,… the primary payment method for in-person and online … of payment fraud and provides some solutions. Section II provides an overview of payment card fraud and begins with payment …,https://ieeexplore.ieee.org/abstract/document/6284315/,,
